"candidate_id","name","entity_type","institution_or_company","researcher_or_founder","technology","category","ocean_centrality","current_maturity","evidence_signal","commercialization_signal","why_potentially_interesting","biggest_unknown","propeller_relevance","d1_technical","d2_commercial","d3_timing","d4_venture","d5_propeller","total","flags","queue","source_urls","source_date","date_accessed"
"hybrid-reefs","Hybrid Reefs","company","Spinout of Scripps Institution of Oceanography, UC San Diego","Daniel Wangpraseurt (founder; Associate Research Scientist, Coral Reef Engineering Lab); Alex Ferre; Mike Poirier; Samapti Kundu (CTO)","Patent-pending nature-inspired biomaterials for coral restoration: CoralGuard (antifouling coating suppressing algal overgrowth), Snap-X (larval settlement attractant), Symbion (bleaching mitigation under heat stress)","5. Marine Materials / 6. Coastal Adaptation","central_mechanism","Spinout formed; patent-pending platform; accelerator graduate","Patent-pending biomaterials platform developed in a named Scripps lab; 2026 UC San Diego Chancellor's Innovation Awards Startup of the Year finalist","StartBlue Ocean Enterprise Accelerator (Cohort 1); featured at the UN Ocean Conference","The antifouling coating (CoralGuard) may be the more commercially interesting asset than the reef restoration application itself - marine antifouling is a large regulated market under pressure to move off biocides, and Propeller has written about hull coatings","Whether the business is reef restoration (grant-funded, hard venture market) or marine biomaterials (large commercial market). These imply completely different companies","Category 5; Scripps is a Propeller partner; antifouling chemistry is not represented in the publicly disclosed portfolio reviewed","2","2","2","2","2","10","CONSULTANCY_RISK","Active research","https://today.ucsd.edu/story/2026-chancellors-innovation-awards-finalists | https://startblue.ucsd.edu/impact/","2026-03-30","2026-08-21"
"ocean-motion-technologies","Ocean Motion Technologies","company","Ocean Motion Technologies (San Diego, CA)","Dr. Jack Pan (founder, oceanographer and data scientist)","Small-scale wave energy converters designed to power persistent at-sea data collection - framed by the company as enabling an 'Ocean of Things'","3. Offshore Energy / 2. Ocean Sensing","central_mechanism","Company formed 2018; WEC work began 2020; DOE-supported","DOE water power programme engagement documented by the Department of Energy; StartBlue Cohort 4 participant","DOE resources; StartBlue accelerator; named target markets include ocean observation, offshore aquaculture, coastal security and defence","Same persistent-power thesis as Hydrokinetx but further along, and a useful comparator for judging whether small-scale WEC economics actually close","Founded 2018 - by 2026 the absence of a disclosed large financing or named commercial customer is itself a question about traction or capital efficiency","Category 2/3 (Industrials); enables the ocean data thesis; stage fit needs verification given company age","2","2","1","2","3","10","","Active research","https://www.energy.gov/eere/water/articles/ocean-motion-technologies-leveraging-doe-resources-harness-power-ocean | https://startblue.ucsd.edu/impact/ | https://www.oceanmotion.tech/about.html","Founded 2018; WEC work from 2020","2026-08-21"
"osu-subsea-connection","AI-Enabled Autonomous Subsea Connection System","research_project","Oregon State University","Geoffrey Hollinger (PI)","Autonomous system that connects and disconnects underwater equipment without divers, handling the control problem created by constant wave motion","1. Maritime Autonomy / 3. Offshore Infrastructure","central_environment","Pre-company; NSF I-Corps customer discovery underway","NSF I-Corps award 2630206-series ($50,000); Hollinger leads an established robotics research group at OSU","NSF I-Corps, 17 Aug 2026 - four days before this research; I-Corps requires structured customer discovery","Subsea connection is named by Propeller itself as a hard problem in its ocean-compute post. Commercial diving is described in the award abstract as one of the world's most dangerous professions, so there is a safety driver alongside cost. OSU is a Propeller partner but this sits in the engineering college, not the oceanography college","Whether a startup can displace incumbent wet-mate connector suppliers, and whether autonomous connection is a product or a feature of existing ROV service providers","Category 1/3 (Industrials); OSU is a Propeller partner; directly relevant to offshore wind, subsea cable and ocean-compute interconnect","1","1","3","1","3","9","","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2630730","2026-08-17","2026-08-21"
"vims-shellfish-rfid","Marine-adapted RFID and analytics for shellfish aquaculture","research_project","Virginia Institute of Marine Science, College of William & Mary","William Walton (PI)","Marine-adapted RFID tagging plus analytics for digital inventory management on commercial shellfish farms, replacing handwritten logs and spreadsheets","7. Blue Food & Aquaculture","enabling_customer","Pre-company; NSF I-Corps customer discovery underway","NSF I-Corps award 2637876 ($50,000); VIMS is a leading shellfish aquaculture research institution and Walton is an established shellfish aquaculture researcher","NSF I-Corps, 19 Aug 2026 - two days before this research","Unusually concrete problem statement: farms managing millions of animals on handwritten logs. Grounded in a real operational pain rather than a technology looking for a use","Whether shellfish growers, who are typically small and capital-constrained, will pay for tagging hardware plus software - the classic willingness-to-pay problem in aquaculture","Category 7 (Organics); Propeller's thinnest named theme; VIMS has no public Propeller partnership","1","1","3","1","2","8","","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2637876","2026-08-19","2026-08-21"
"uaf-nearshore-bathymetry","Explainable AI for satellite-derived nearshore bathymetry","research_project","University of Alaska Fairbanks","Erin Trochim (PI)","Explainable AI converting satellite imagery into high-resolution underwater depth maps for coastlines, rivers and lakes","2. Ocean Sensing, Data & Intelligence","central_mechanism","Pre-company; NSF I-Corps customer discovery underway","NSF I-Corps award 2630206 ($50,000)","NSF I-Corps, 19 Aug 2026","Award abstract states nearly half of US waters remain unmapped to modern standards and that ship- and aircraft-based survey cannot keep pace. Explainability matters because charting is a regulated, liability-bearing domain where black-box depth estimates are unusable","Whether satellite-derived bathymetry can reach the accuracy standards hydrographic authorities require, and whether the buyer is government charting (slow) or commercial operators (faster)","Category 2 (Industrials/Carbon enabling); ocean data is a stated Propeller interest via Aquatic Labs and Hum.ai","1","1","3","2","2","9","","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2630206","2026-08-19","2026-08-21"
"uf-storm-surge-ai","AI surrogate for coastal storm surge and water level forecasting","research_project","University of Florida","Zhe Jiang (PI)","AI surrogate model producing rapid storm surge and water level predictions, replacing slow physics simulations","6. Coastal Adaptation & Climate Risk","central_environment","Pre-company; NSF I-Corps customer discovery underway","NSF I-Corps award 2633942 ($50,000)","NSF I-Corps, 19 Aug 2026","The abstract names insurance pricing and infrastructure design alongside emergency response - i.e. buyers with real P&Ls, which is the escape route from municipal budgets that sinks most coastal adaptation businesses","Forecast skill versus incumbent operational models (NOAA SLOSH, ADCIRC), and whether insurers buy models or buy answers","Category 6 (Industrials/adaptation and Carbon/climate risk); matches Propeller's Aug 2026 adaptation thesis","1","1","3","2","2","9","","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2633942","2026-08-19","2026-08-21"
"mit-corrosion-workflow","Digital workflow for steel infrastructure corrosion inspection, analysis and repair","research_project","Massachusetts Institute of Technology","Anastasios Hart (PI)","Digital workflow covering corrosion inspection, analysis and repair for structural steel, targeting the weeks-to-months timelines of conventional plate repair or full asset replacement","5. Marine Materials & Corrosion","adjacent","Pre-company; NSF I-Corps customer discovery underway","NSF I-Corps award 2638231 ($50,000)","NSF I-Corps, 17 Aug 2026","Corrosion is explicitly inside Propeller's Industrials theme ('materials') and Allium Engineering proves they buy corrosion. Marine and offshore steel is among the most corrosion-exposed asset classes","Whether the marine/offshore segment is the focus at all - the award describes transportation, energy and logistics generally. Ocean-centrality is currently 'adjacent' and would need to be confirmed before this advances","Category 5 (Industrials/materials); adjacency to Allium Engineering; MIT has no public Propeller partnership but two portfolio companies trace there","1","1","3","2","2","9","OCEAN_INCIDENTAL (pending confirmation)","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2638231","2026-08-17","2026-08-21"
"iowa-state-bioshield","BioShield CP: microbial coating system for corrosion protection","research_project","Iowa State University","Kaoru Ikuma (PI)","Biological (microbial biofilm) coating system for corrosion protection, replacing chemical coatings that carry cost and human/environmental health risks","5. Marine Materials & Corrosion","adjacent","Pre-company; large multi-year translation award","NSF Convergence Accelerator award 2452538 ($4,999,999), following Track M award 2344389 ($650,000) - a substantial, staged translation programme","NSF Convergence Accelerator is an explicit commercialization-track programme","The clearest demonstration of this project's core sourcing thesis: a landlocked university with no oceanography department holding a $5M award on the exact problem (biocide-free anticorrosion coatings) that marine assets face most acutely. Would never surface in any ocean-tech search","Whether a living microbial coating can survive immersion, biofouling pressure and mechanical wear in seawater specifically - the marine case is much harsher than the terrestrial case the work targets","Category 5 (Industrials/materials); Propeller has written about hull coatings; adjacency to Allium and to Fleet Robotics' fouling problem","2","1","2","2","2","9","OCEAN_INCIDENTAL (pending confirmation)","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2452538 | https://www.nsf.gov/awardsearch/showAward?AWD_ID=2344389","2025-06-30; 2024-01-10","2026-08-21"
"northeastern-poawrs","Compact coherent hydrophone arrays for wide-area ocean acoustic monitoring","research_project","Northeastern University","Purnima Makris (PI)","Passive Ocean Acoustic Waveguide Remote Sensing (POAWRS) using compact coherent hydrophone arrays to monitor wide ocean areas instantaneously from wind farms and other ocean platforms","2. Ocean Sensing, Data & Intelligence","central_mechanism","Pre-company; PFI technology-translation award","NSF PFI-TT award 2345791 ($550,000) - PFI-TT exists specifically to translate proven research toward commercial application","NSF PFI Technology Translation programme","Explicitly framed for deployment from offshore wind farms, sitting exactly at the intersection of Propeller's offshore energy and ocean sensing interests. Passive acoustics also serves marine mammal monitoring, which is a regulatory requirement for offshore wind permitting - a mandated buyer","Whether wind developers procure monitoring directly or push it to survey contractors, and whether the array cost advantage survives at production volume","Category 2/3 (Industrials); adjacency to Indeximate (subsea monitoring) and to the offshore wind biodiversity problems Propeller convened with Orsted at WHOI","2","1","1","2","3","9","","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2345791","2024-04-01","2026-08-21"
"sitkana","Sitkana Inc","company","Sitkana Inc (Juneau, AK)","Lance McMullan (PI)","Modular tidal energy systems for power generation in remote coastal communities currently dependent on diesel generators","3. Offshore Energy & Infrastructure","central_mechanism","Company formed; STTR Phase I awarded","NSF STTR Phase I award 2507857 ($305,000)","NSF STTR Phase I, 27 Aug 2025","Targets remote Alaskan coastal communities where the competing cost is diesel generation, not grid power - one of the few settings where marine energy economics can close today. Modularity addresses the installation-cost problem that has killed most tidal projects","Whether modular units can be installed and maintained without specialised vessels, which is where marine energy capital costs usually explode","Category 3 (Industrials); marine energy is within the Industrials theme, though capital intensity is a real stage-fit concern","2","2","2","1","2","9","CAPEX_BEFORE_VALIDATION","Watch","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2507857","2025-08-27","2026-08-21"
"reef-arches","Reef Arches, LLC","company","Reef Arches, LLC (West Palm Beach, FL)","Nicholas Bourdon (PI)","Eco-engineered submerged structures for coastal protection, claimed to reduce wave energy by up to 70% while supporting benthic infauna, seagrass and mangrove habitat","6. Coastal Adaptation","central_environment","Company formed; SBIR Phase I awarded","NSF SBIR Phase I award 2528131 ($154,646)","NSF SBIR Phase I, 22 Aug 2025","Specific, testable performance claim (up to 70% wave energy reduction, per the award abstract) rather than a general resilience narrative","Whether the 70% figure holds in field conditions and across wave climates, and whether the buyer is a coastal municipality (grant cycles) or a private developer","Category 6 (Industrials/adaptation); matches Propeller's coastal adaptation thesis","2","2","2","1","2","9","MUNICIPAL_BUYER_ONLY","Watch","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2528131","2025-08-22","2026-08-21"
"prime-pacific","Prime Pacific Enterprises LLC","company","Prime Pacific Enterprises LLC (Honolulu, HI)","Gabriel Hanohano (PI)","Autonomous unmanned aerial system for high-precision, repeat monitoring and prediction of coastal erosion","6. Coastal Adaptation / 2. Ocean Sensing","central_environment","Company formed; SBIR Phase I awarded","NSF SBIR Phase I award 2528376 ($305,000)","NSF SBIR Phase I, 22 Aug 2025","Hawai'i-based, in a Propeller partner geography (University of Hawai'i), addressing shoreline loss where the asset values at risk are very high","Whether autonomous UAS erosion monitoring is a product or a survey service - the services trap is acute here; and how it competes with satellite-derived alternatives","Category 6/2 (Industrials/adaptation); University of Hawai'i is a Propeller partner institution","2","2","2","1","2","9","CONSULTANCY_RISK","Watch","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2528376","2025-08-22","2026-08-21"
"atlantic-fish-co","Atlantic Fish Co LLC","company","Atlantic Fish Co LLC (Washington, DC)","Trevor Ham (PI)","Bioengineered, commercially viable fish cell lines for cultivated seafood, producing only the required tissue","7. Blue Food & Aquaculture","adjacent","Company formed; SBIR Phase I awarded","NSF SBIR Phase I award 2451498 ($305,000)","NSF SBIR Phase I, 25 Jul 2025","Abstract notes 90% of wild fisheries are at or beyond capacity with many premium species lacking viable aquaculture models - a genuine supply constraint. Cell lines are the enabling input layer rather than a consumer product","Cultivated meat economics have proven extremely difficult; whether fish cell lines are cheaper to scale than mammalian, and whether the business is licensing cell lines or selling product","Category 7 (Organics); Propeller's Organics theme names food and biologic value creation, though no disclosed portfolio company is in cultivated protein","2","2","2","2","1","9","","Watch","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2451498","2025-07-25","2026-08-21"
"namaka-algae","Namaka Algae, Inc","company","Namaka Algae, Inc (Kamuela, HI)","Valerie Harmon (PI)","Area-efficient cultivation technology that captures and redistributes light into dense microalgae cultures, targeting aquaculture feed","7. Blue Food & Aquaculture","central_environment","Company formed; SBIR Phase I awarded","NSF SBIR Phase I award 2451285 ($304,541)","NSF SBIR Phase I, 22 May 2025","Attacks the specific physical bottleneck in algae production - light penetration in dense cultures - rather than the general 'algae is promising' thesis, and points at aquafeed, a real existing market","Whether the light-distribution advantage translates into a cost per tonne that beats existing feed inputs; algae production has a long history of unmet cost claims","Category 7 (Organics); Propeller's Organics theme explicitly names feed; Hawai'i is a Propeller partner geography","2","2","2","1","2","9","","Watch","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2451285","2025-05-22","2026-08-21"
"berkeley-wave-routing","AI-driven wave prediction for shipping fuel efficiency","research_project","University of California, Berkeley","Reza Alam (PI)","Autonomous low-cost ocean sensors feeding real-time wave data into a routing system that helps ships avoid fuel-wasting sea conditions","8. Industrial & Maritime Software / 2. Ocean Sensing","enabling_customer","Pre-company; NSF I-Corps customer discovery underway","NSF I-Corps award 2533913 ($50,000); Alam's group has a long record in ocean wave hydrodynamics","NSF I-Corps, 31 Jul 2025","The interesting element is the sensor network, not the routing software. Abstract cites over $150B annual shipping fuel spend with more than 20% lost to inefficient routing (attributed to the abstract, not independently verified). Owning proprietary wave data is what would separate this from the crowded weather-routing market","Whether proprietary in-situ sensors materially beat existing forecast and satellite products - if not, this is a routing software company in a crowded field","Category 8/2 (Industrials); Propeller's Industrials theme names shipping","1","1","2","2","2","8","AI_WRAPPER (pending confirmation of data moat)","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2533913","2025-07-31","2026-08-21"
"msu-species-id","AI and genomics for seafood species identification","research_project","Michigan State University","Mariah Meek (PI)","Combined AI and genomics enabling rapid, reliable species identification of fish and seafood products in field settings","7. Blue Food & Aquaculture","enabling_customer","Pre-company; NSF I-Corps customer discovery underway","NSF I-Corps award 2348772 ($50,000)","NSF I-Corps, 25 Jan 2024","Seafood traceability and fraud is a large, regulation-driven problem, and Propeller discloses a stealth company in seafood traceability - suggesting the area is live for them","Whether field-deployable genomic ID is fast and cheap enough for supply chain use, and who pays: processors, retailers, or regulators. Award is now 19 months old with no public company formation found","Category 7 (Organics); a disclosed Propeller stealth company covers seafood traceability, so treat portfolio relationship as unclear","1","1","1","2","2","7","","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2348772","2024-01-25","2026-08-21"
"wpi-coastal-soils","Sustainable and resilient enhancement of coastal soils","research_project","Worcester Polytechnic Institute","Mingjiang Tao (PI)","Soil improvement technique for coastal regions addressing seawater intrusion and soil salinization, where traditional calcium-based stabilisation is ineffective","5. Marine Materials / 6. Coastal Adaptation","central_environment","Pre-company; PFI Research Partnership award","NSF PFI-RP award 2414953 ($1,000,000) - a research-partnership translation award implying an industry partner","NSF PFI Research Partnership programme","Salinization-driven degradation of coastal soils is described in the abstract as a hidden hazard to coastal civil infrastructure - an under-addressed failure mode relative to seawalls and surge barriers","Whether soil stabilisation is a product, a chemical, or a contracting service - and the qualification timeline for any new geotechnical material is long","Category 5/6 (Industrials/materials and adaptation)","1","1","1","1","2","6","CONSULTANCY_RISK","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2414953","2024-07-08","2026-08-21"
"umich-maritime-diagnostics","Statistical physics for maritime diagnostics","research_project","University of Michigan","David Singer (PI)","Generalizable diagnostic tool tying together disparate, disconnected information sources into a transparent, auditable system, applied to maritime diagnostics","8. Industrial & Maritime Software","adjacent","Pre-company; NSF I-Corps customer discovery underway","NSF I-Corps award 2531191 ($50,000); Michigan hosts one of the few US naval architecture and marine engineering departments","NSF I-Corps, 1 Jul 2025","Michigan's naval architecture department is a rare concentration of maritime engineering talent, and vessel diagnostics is a real operator pain point","The award itself describes the technology as platform-independent and applicable to many areas - which is precisely the pattern that indicates the ocean application may be incidental rather than central","Category 8 (Industrials); adjacency to Nexxa.ai; ocean-centrality is weak and would need to be established","1","1","2","1","1","6","OCEAN_INCIDENTAL | AI_WRAPPER (pending confirmation)","Watch (early)","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2531191","2025-07-01","2026-08-21"
