"claim_id","claim","status","source","source_type","source_tier","source_date","date_accessed","confidence","memo_section","contradictory_evidence"
"C011","No public announcement was found of any ARMADA licence to US 10,112,686, US 11,072,406 or US 10,640,188","unknown","WHOI press room; ARMADA media page","press_release","2-WHOI/ARMADA","","2026-08-21","medium","IP",""
"C012","ARMADA total verified federal awards: $2,972,287 across NSF, Navy, NOAA and OSD (6 distinct awards)","observed","USAspending API + SBIR.gov bulk award file","federal_record","1-Government","2026-08-21","2026-08-21","high","Market / procurement evidence","Phase 2 reported $255,821; corrected in Phase 2.5 and Phase 3A"
"C013","Navy contract N68335-23-C-0142: base $999,028 (2023-01-30) + exercised option $499,949 (mod P00001, 2025-01-21) + incremental CLIN 0004 funding $499,949 (mod P00003, 2026-03-10) = $1,998,926 total obligated","observed","USAspending award CONT_AWD_N6833523C0142_9700_-NONE-_-NONE- transaction history","federal_record","1-Government","2026-03-10","2026-08-21","high","Market / procurement evidence","Corrects the Phase 2.5 phrasing that the value simply 'doubled'"
"C014","USAspending records the period of performance for N68335-23-C-0142 as 2023-01-30 to 2028-03-20 (potential end identical); award record last modified 2026-03-10","observed","USAspending award detail endpoint","federal_record","1-Government","2026-03-10","2026-08-21","medium","Market / procurement evidence","A reported SBIR.gov end date of January 2027 could not be verified in-session; discrepancy unresolved"
"C015","Mod P00002 (2025-01-30) extended the period of performance for CLINs 0001-0003","observed","USAspending transactions endpoint","federal_record","1-Government","2025-01-30","2026-08-21","high","Market / procurement evidence",""
"C016","ARMADA publicly identifies three people: Jeff Kaeli (CEO, Co-Founder, Co-Inventor), Philip 'Rusty' Warren (Lead Director, Co-Founder), Robin Littlefield (Lead Engineer, Co-Founder, Co-Inventor)","observed","https://www.armadamarinerobotics.com/team","company_site","2-Company","2026-08-21","2026-08-21","high","Team","Secondary aggregators report ~8 employees; tier-3, not ingested"
"C017","Jeff Kaeli holds a PhD from the MIT/WHOI Joint Program in Oceanographic Engineering and led the Asymmetric Propulsion development effort at WHOI","observed","https://www.armadamarinerobotics.com/team","company_site","2-Company","2026-08-21","2026-08-21","high","Team",""
"C018","ARMADA's technology page describes two product lines: Asymmetric Propulsion and EPADS payload delivery","observed","https://www.armadamarinerobotics.com/technology","company_site","2-Company","2026-08-21","2026-08-21","high","Company / product overview",""
"C019","EPADS is external to the host robot, requires no mechanical modification, and communicates over the robot's native acoustic modem","observed","https://www.armadamarinerobotics.com/technology","company_site","2-Company","2026-08-21","2026-08-21","high","Technical diligence",""
"C020","EPADS uses a patented technique to effect zero net buoyancy change on the robot before and after deployment","observed","https://www.armadamarinerobotics.com/technology","company_site","2-Company","2026-08-21","2026-08-21","high","Technical diligence",""
"C021","Navy Phase I established an A-size (4.875 in x 36 in) payload body delivering a 5 kg module","observed","Navy SBIR Phase II abstract (EPADS for Cylindrical UUVs)","federal_record","1-Government","2023","2026-08-21","high","Technical diligence",""
"C022","Phase I validated hydrodynamic simulations with in-water testing using dummy A-size payloads carried on a REMUS 600 UUV","observed","Navy SBIR Phase II abstract","federal_record","1-Government","2023","2026-08-21","high","Technical diligence",""
"C023","Two A-size external payloads were confirmed to reduce UUV mission time by no more than 25% with parasitic drag under 10% of unmodified vehicle drag","observed","Navy SBIR Phase II abstract","federal_record","1-Government","2023","2026-08-21","high","Technical diligence","These are acceptance thresholds met, not performance benefits"
"C024","The Phase II objective is characterising and optimising EPADS placement accuracy","observed","https://www.armadamarinerobotics.com/technology; Navy SBIR Phase II abstract","company_site","2-Company","2026-08-21","2026-08-21","high","Technical diligence",""
"C025","No public data exists for Asymmetric Propulsion efficiency, turning radius, power draw or acoustic signature","unknown","Company site; conference publication titles; patent record","company_site","2-Company","","2026-08-21","high","Technical diligence",""
"C026","ARMADA published conference papers at IEEE/OES AUV Workshop (Porto, 2018) and MTS/IEEE OCEANS (Seattle, 2019)","observed","https://www.armadamarinerobotics.com/media","company_site","2-Company","2026-08-21","2026-08-21","high","Technical diligence",""
"C027","ARMADA reported that Asymmetric Propulsion passed a critical 3D steering test on 2022-09-28","observed","https://www.armadamarinerobotics.com/media","company_site","2-Company","2022-09-28","2026-08-21","medium","Technical diligence","Self-reported; no independent publication of results found"
"C028","ARMADA signed a licensing agreement with WHOI for propulsion technology on 2020-07-30 and won an NSF contract on 2020-09-23","observed","https://www.armadamarinerobotics.com/media","company_site","2-Company","2020","2026-08-21","high","IP",""
"C029","ARMADA won a place in the Emerge Accelerator, announced 2024-01-26","observed","https://www.armadamarinerobotics.com/media","company_site","2-Company","2024-01-26","2026-08-21","medium","Company overview",""
"C030","NOAA SBIR Phase I ($174,798, 2024-08-01 to 2025-01-31) funded a concept combining propulsion and ballast technologies for an uncrewed sensing platform riding ocean currents","observed","USAspending award NA24OARX021G0026","federal_record","1-Government","2024-08-01","2026-08-21","high","Company / product overview","Not presented as a product on ARMADA's site; no follow-on award found"
"C031","No commercial sale, pilot, LOI or named commercial customer for ARMADA appears in any public source reviewed","unknown","Company site; WHOI; USAspending; trade press","company_site","2-Company","","2026-08-21","high","Commercial opportunity",""
"C032","No public evidence of any UUV OEM relationship, evaluation or design-in for Asymmetric Propulsion","unknown","Company site; trade press; patent and procurement records","company_site","2-Company","","2026-08-21","high","Commercial opportunity",""
"C033","Observed maritime-autonomy federal procurement sample: 87 contracts, $244,757,931, spanning 2014-2026","observed","outputs/armada_procurement_audit.json (from USAspending)","federal_record","1-Government","2026-08-21","2026-08-21","high","Market / procurement evidence","Keyword-derived sample; not exhaustive; excludes classified and non-federal spend"
"C034","Narrow addressable procurement (components/spares plus payload deployment) is $10,740,202 across 15 contracts, approximately $826,169 per year","observed","outputs/armada_procurement_audit.json","federal_record","1-Government","2026-08-21","2026-08-21","medium","Market / procurement evidence","Bucketing rules are analyst-defined and published in the audit script"
"C035","Broad adjacency procurement is $81,537,034 across 59 contracts, approximately $6,272,080 per year","observed","outputs/armada_procurement_audit.json","federal_record","1-Government","2026-08-21","2026-08-21","medium","Market / procurement evidence",""
"C036","Two contracts totalling $8,919,361 were removed as false comparables: a design-build building contract and a counter-UUV services contract","observed","outputs/armada_procurement_audit.json","federal_record","1-Government","2026-08-21","2026-08-21","high","Market / procurement evidence",""
"C037","WHOI appears in the procurement sample as a supplier on five contracts totalling approximately $11.3M, including a REMUS 600 sale to the Navy ($1,989,267, 2025-08-21)","observed","outputs/armada_procurement_audit.json","federal_record","1-Government","2025-08-21","2026-08-21","high","Competitive landscape",""
"C038","W S Darley & Co appears 24 times in the procurement sample, functioning as a government UUV hardware distribution channel","observed","outputs/armada_procurement_audit.json","federal_record","1-Government","2026-08-21","2026-08-21","high","Competitive landscape",""
"C039","The scenario model Base case reaches $22.05M revenue against a $30M venture-scale threshold, leaving a $7.95M gap","inferred","models/armada_underwriting.xlsx","model","analyst","2026-08-21","2026-08-21","medium","Underwriting scenarios","All revenue inputs are analyst assumptions; no company revenue data exists"
"C040","EPADS pods appear to be left on the seafloor with the payload, which would make them consumable and give recurring unit economics","inferred","Navy SBIR Phase II abstract mechanism description","federal_record","1-Government","2023","2026-08-21","low","Business model","Inference from the release mechanism; not confirmed by any source. Primary research question 1."
"C041","Propeller's disclosed portfolio contains two AUV platform companies (Orpheus Ocean, VATN Systems)","observed","https://propellervc.com/portfolio","company_site","3-Propeller","2026-08-21","2026-08-21","high","Propeller fit","Relationship to ARMADA labelled complementary/potentially competitive/unclear, never automatically competitive"
"C042","Propeller invests pre-seed to Series A with a stated check size of approximately $500K-$3M","observed","https://propellervc.com/; https://propellervc.com/blog/how-we-invest","company_site","3-Propeller","2026-08-21","2026-08-21","high","Propeller fit",""
"C043","ARMADA's registered address is 82 Technology Park Drive, East Falmouth, MA 02536","observed","https://www.armadamarinerobotics.com/technology","company_site","2-Company","2026-08-21","2026-08-21","high","Company overview",""
"C044","No equity financing for ARMADA is disclosed in any tier-1 or tier-2 source reviewed","unknown","Company site; WHOI; federal records","company_site","2-Company","","2026-08-21","medium","Company overview","Secondary aggregators report roughly $290K raised; tier-3, deliberately not ingested or relied upon"
"C045","Prior art for asymmetric/single-blade marine propulsion includes US 2,371,160 (1945), US 3,312,286 (1967) and US 7,841,831 (2010, asymmetrically changing rotating blade shape)","observed","https://patents.google.com/patent/US9873499B2/en","patent","1-Patent record","2018-01-23","2026-08-21","high","Technical diligence",""
